RunID,BuiltInSortTime,BubbleSortTime,Speedup
1,0.014712,0.264561,17.9826672104405
2,0.011325,0.253417,22.3767770419426
3,0.011854,0.253197,21.3596254428885
4,0.011257,0.246381,21.8869148085636
5,0.011107,0.2541,22.8774646619249
6,0.011531,0.242663,21.0444020466568
7,0.01054,0.238626,22.6400379506641
8,0.010547,0.237824,22.5489712714516
9,0.010571,0.238145,22.5281430328257
10,0.01053,0.238172,22.6184235517569
11,0.010546,0.238168,22.5837284278399
12,0.010565,0.237938,22.5213440605774
13,0.010553,0.260875,24.7204586373543
14,0.01138,0.239635,21.0575571177504
15,0.010499,0.253265,24.1227735974855
16,0.010762,0.242734,22.5547296041628
17,0.01064,0.242687,22.8089285714286
18,0.01083,0.251741,23.244783010157
19,0.01071,0.247365,23.0966386554622
20,0.010522,0.23926,22.7390229994298
21,0.010807,0.245813,22.7457203664292
22,0.010804,0.239776,22.1932617549056
23,0.010547,0.239065,22.666635062103
24,0.011244,0.247107,21.976787620064
25,0.010711,0.241709,22.5664270376249
26,0.011064,0.244222,22.073571945047
27,0.011322,0.246235,21.7483660130719
28,0.010975,0.242452,22.091298405467
29,0.010535,0.237289,22.5238728049359
30,0.010935,0.240858,22.0263374485597
,,,22.4807932051217
