RunID,SpmdSortTime,BubbleSortTime,Speedup,Speedup^{-1}
1,15.774815,0.007092,0.000449577380146772,2224.31119571348
2,15.939903,0.003626,0.00022747942694507,4396.00193050193
3,15.624772,0.003378,0.000216195154719698,4625.45056246299
4,16.095812,0.003288,0.000204276739812816,4895.3199513382
5,15.681298,0.007194,0.000458763043722529,2179.77453433417
6,15.74449,0.003284,0.000208580906717207,4794.30267965896
7,21.604841,0.004866,0.00022522729975194,4439.95910398685
8,16.016023,0.006982,0.000435938434903596,2293.90189057577
9,15.744799,0.00686,0.000435699433190605,2295.16020408163
10,15.574041,0.005605,0.000359893748835,2778.59785905442
11,16.296714,0.003734,0.000229125945267248,4364.4118907338
12,15.787887,0.002895,0.000183368426693198,5453.50155440416
13,15.596627,0.005586,0.000358154362478503,2792.09219477264
14,15.633523,0.006593,0.000421721962477683,2371.23054755043
15,15.668713,0.005926,0.000378205919018365,2644.06226797165
16,15.86215,0.005572,0.000351276466305009,2846.76058865757
17,21.121224,0.006293,0.000297946747783178,3356.30446527888
18,15.452465,0.00317,0.000205145263231465,4874.59463722398
19,16.238405,0.006476,0.000398807641514053,2507.47452130945
20,15.511078,0.003021,0.000194764026072205,5134.41840450181
21,15.655138,0.006764,0.000432062623785239,2314.47930218805
22,15.884209,0.003273,0.000206053697732131,4853.10388023221
23,15.718947,0.006621,0.000421211420841358,2374.10466696874
24,20.506895,0.006658,0.000324671287388949,3080.03829978973
25,15.656753,0.006789,0.000433614811449092,2306.19428487259
26,15.470977,0.006627,0.000428350452592619,2334.53704542025
27,15.698786,0.005575,0.000355123001230796,2815.92573991031
28,16.089344,0.00576,0.000358000922846823,2793.28888888889
29,15.456544,0.006421,0.000415422749095787,2407.18641956082
30,15.286182,0.006171,0.000403697927971811,2477.09965969859
